고유번호,기준연도,행정동코드,행정동명,2007년사용량,2008년사용량,경도,위도
427,2008,1125052,상일동,65.77704,66.072943,127.1650498,37.5507951
437,2008,1115065,신정2동,54.974664,55.433659,126.8749622,37.5187126
401,2008,1125054,명일2동,70.702309,70.265652,127.1557966,37.5484922
402,2008,1125065,성내1동,76.47508,76.809205,127.1254874,37.5284538
404,2008,1124059,오륜동,75.20928,81.636248,127.128998,37.5175689
405,2008,1124060,오금동,122.379257,124.80993,127.1340709,37.5037194
408,2008,1125053,명일1동,72.925659,72.658741,127.1452785,37.5495731
409,2008,1125067,성내3동,88.867987,89.051932,127.1336758,37.5284118
410,2008,1124063,석촌동,160.149134,158.103925,127.1041138,37.5028508
412,2008,1124066,가락1동,108.872008,107.456593,127.1077445,37.4951698
413,2008,1124067,가락2동,96.375492,96.978021,127.131344,37.4962788
435,2008,1108081,성북동,75.10811,77.239237,126.9973996,37.5953528
438,2008,1114071,연남동,47.055426,48.724297,126.9224741,37.5624936
